URI,wareki,year
nij02-nijl_nijl_nijl_azumakagami_0000039451,弘長三年八月十五日,C.E. 1263-09-18
nij02-nijl_nijl_nijl_azumakagami_0000028240,寛元二年十二月八日,C.E. 1245-01-07
nij02-nijl_nijl_nijl_azumakagami_0000020426,建保六年九月二十九日,C.E. 1218-10-20
nij02-nijl_nijl_nijl_azumakagami_0000012163,建久二年十一月二十一日,C.E. 1191-12-09
nij02-nijl_nijl_nijl_azumakagami_0000008856,文治五年六月三日,C.E. 1189-07-17
nij02-nijl_nijl_nijl_azumakagami_0000010674,建久元年八月十五日,C.E. 1190-09-16
nij02-nijl_nijl_nijl_azumakagami_0000014496,建久六年四月十七日,C.E. 1195-05-28
nij02-nijl_nijl_nijl_azumakagami_0000032667,建長四年八月一日,C.E. 1252-09-06
nij02-nijl_nijl_nijl_azumakagami_0000008004,文治四年四月二十日,C.E. 1188-05-18
nij02-nijl_nijl_nijl_azumakagami_0000006639,文治二年十一月二十四日,C.E. 1187-01-05
nij02-nijl_nijl_nijl_azumakagami_0000040049,文永三年正月十七日,C.E. 1266-02-23
nij02-nijl_nijl_nijl_azumakagami_0000035307,正嘉元年八月二十八日,C.E. 1257-10-07
nij02-nijl_nijl_nijl_azumakagami_0000022570,寛喜元年六月二十日,C.E. 1229-07-12
nij02-nijl_nijl_nijl_azumakagami_0000007429,文治三年十月三日,C.E. 1187-11-04
nij02-nijl_nijl_nijl_azumakagami_0000000384,治承四年八月六日,C.E. 1180-08-28
nij02-nijl_nijl_nijl_azumakagami_0000004603,文治元年十月十七日,C.E. 1185-11-10
nij02-nijl_nijl_nijl_azumakagami_0000022220,元仁元年／脱漏巻〈元仁二年から安貞元年の間の条〉別巻十二月十五日／十七日条別巻,C.E. 1224-02-21
nij02-nijl_nijl_nijl_azumakagami_0000029693,宝治元年七月十八日,C.E. 1247-08-20
nij02-nijl_nijl_nijl_azumakagami_0000031853,建長三年十二月七日,C.E. 1252-01-19
nij02-nijl_nijl_nijl_azumakagami_0000002277,寿永元年十二月二日,C.E. 1182-12-28
nij02-nijl_nijl_nijl_azumakagami_0000031649,建長三年八月十五日,C.E. 1251-09-02
nij02-nijl_nijl_nijl_azumakagami_0000008231,文治四年八月十七日,C.E. 1188-09-09
nij02-nijl_nijl_nijl_azumakagami_0000017199,元久二年九月二十日,C.E. 1205-11-02
nij02-nijl_nijl_nijl_azumakagami_0000008496,文治四年十二月十六日,C.E. 1189-01-04
nij02-nijl_nijl_nijl_azumakagami_0000008981,文治五年六月二十七日,C.E. 1189-08-10
nij02-nijl_nijl_nijl_azumakagami_0000041860,補遺・安貞元年十二月十三日,
nij02-nijl_nijl_nijl_azumakagami_0000006946,文治三年四月二十三日,C.E. 1187-06-01
nij02-nijl_nijl_nijl_azumakagami_0000017037,元久二年六月二十二日,C.E. 1205-07-10
nij02-nijl_nijl_nijl_azumakagami_0000032892,建長四年十一月十一日,C.E. 1252-12-13
nij02-nijl_nijl_nijl_azumakagami_0000026973,仁治二年九月十三日,C.E. 1241-10-19
nij02-nijl_nijl_nijl_azumakagami_0000036818,正元二年正月十二日,C.E. 1260-02-24
nij02-nijl_nijl_nijl_azumakagami_0000015236,正治元年十一月十九日,C.E. 1199-12-08
nij02-nijl_nijl_nijl_azumakagami_0000021326,承久三年六月十八日,C.E. 1221-07-09
nij02-nijl_nijl_nijl_azumakagami_0000027477,寛元元年十月二十一日,C.E. 1243-12-04
nij02-nijl_nijl_nijl_azumakagami_0000013994,建久五年十一月十日,C.E. 1194-12-24
nij02-nijl_nijl_nijl_azumakagami_0000026168,延応元年八月十日,C.E. 1239-09-09
nij02-nijl_nijl_nijl_azumakagami_0000031167,建長三年正月一日,C.E. 1251-01-24
nij02-nijl_nijl_nijl_azumakagami_0000040256,補遺・文治二年小見出名なし,
nij02-nijl_nijl_nijl_azumakagami_0000004252,元暦二年六月十四日,C.E. 1185-07-12
nij02-nijl_nijl_nijl_azumakagami_0000014284,建久六年三月十日,C.E. 1195-04-21
nij02-nijl_nijl_nijl_azumakagami_0000026791,仁治二年四月二十九日,C.E. 1241-06-10
nij02-nijl_nijl_nijl_azumakagami_0000008806,文治五年閏四月三十日,C.E. 1189-06-15
nij02-nijl_nijl_nijl_azumakagami_0000038294,弘長元年七月十二日,C.E. 1261-08-09
nij02-nijl_nijl_nijl_azumakagami_0000013802,建久五年八月八日,C.E. 1194-08-25
nij02-nijl_nijl_nijl_azumakagami_0000032413,建長四年四月二十四日,C.E. 1252-06-02
nij02-nijl_nijl_nijl_azumakagami_0000031873,建長四年年頭,C.E. 1252-02-12
